keys,format,vi,en
@INTRO_SEQUENCE_TEXT,,"Vào một ngày yên bình ở hành tinh Doggo


Loài Mèo từ một hành tinh xa xôi
Đã đến xâm chiếm mảnh đất này không báo trước.


Chúng đến với một quân đoàn hùng mạnh,
Với số lượng không thể tưởng tượng được

Loài Chó, cùng đường, phải rút chạy về
Nơi phòng thủ cuối cùng: Căn Cứ Chó


Một vùng đất nằm trên mây,
An toàn khỏi tầm kiểm soát của bọn Mèo
Ít nhất là bây giờ...


...Đến giờ ăn trưa rồi à?
Ok.













...Ngon ghê, à nói tới đâu rồi nhỉ?
Sau một khoảng thời gian chuẩn bị và suy nghĩ
Loài Chó quyết định:

PHẢN CÔNG!!!

Nhằm giành lại chủ quyền, độc lập cho loài Chó.

Và vì bọn tôi cũng ghét bọn Mèo,
Bọn chúng gọi bản thân là ""The Battle Cats""

Vậy thì, bọn tôi cũng sẽ xin gọi đội quân chúng tôi là:

THE BATTLE DOGS



Nghe cũng không tệ chứ nhỉ?

Chuyện chỉ có vậy thôi.","It was a peaceful day on planet Doggo


The Catkind from a faraway planet
Had come and invade this land with no forewarning.


They had come with a powerful army,
With unimaginable number of soilders

The Dogkind, in desperation, had to retreat
To their last defensive area: The Dog Base


An island above the clouds,
Safe from the reach of the Cats
At least for now...


...Oh, It's lunch time?
Ok.













...Delicious, ah where was I?
After giving some preparations and deep thoughts
We Dogs have decided:

TO FIGHT BACK!!!

To take back our sovereignty and independence to the Dogkind.

And also because we really hate Cats,
They called themselves ""The Battle Cats""

Then, we would also like to call ourselves:

THE BATTLE DOGS



Doesn't sound too bad, eh?

That's pretty much it."
@ENDING_SEQUENCE_TEXT,,"Và thế là Đội quân The Battle Dogs
Cùng với sự chỉ huy tài tình của bạn

Sau nhiều tháng đấu tranh quyết liệt
Loài Chó, với sự tàn vong của Chúa Mèo, cuối cùng đã đánh đuổi được loài Mèo
Ra khỏi hành tinh Doggo

Hành tinh Doggo đã giành được độc lập
Nhờ ơn Bạn!!

Cảm ơn!
...


Huh... Hơi ngại một chút nhưng, ...



Bạn tên gì ấy nhỉ?

Xin lỗi!  Xin lỗi!  Xin lỗi!!!
Do ban đầu chúng tôi lo việc chiến tranh đánh với bọn Mèo nên bọn tôi quên mất không hỏi tên mà chỉ gọi bạn là Con Người... vài tuần sau thì lâu quá rồi nên bọn tôi cũng không dám hỏi tên, cứ gọi bằng biệt danh như Sếp, Boss Man, Chó Không Lông... Giờ thì mọi thứ yên bình rồi nên mới dám hỏi tên. Hãy tha thứ cho sự ngu muội của chúng tôi, loài Chó bọn tôi thật sự nợ bạn cả đất nước này!!!!

...

Ồ... Nó không có gì to tát à? Xin lỗi!!!
Bọn Chó chúng tôi rất ghét làm cho người khác phiền lòng nên hay giải thích cho người khác hiểu hiểu hành động của chúng tôi, rất xin lỗi, xin lỗi! Làm ơn hãy tha-

...

À, đúng rồi. Nói đến đâu rồi nhỉ?

Mặc dù hành tinh này đã bình yên trở lại, 
Nhưng sự kiện này đã nảy ra một câu hỏi trong óc Chó bọn tôi:

Các hành tinh khác thì sau?

Biết bao nhiêu hành tinh khác đã bị loài Mèo xâm chiếm?
Và loài Chó chúng tôi cảm thấy đây là một điều
Không
Thể
Chấp
Nhận
Được.

Nên... Trong tương lai, sau khi mọi thứ đã ổn định
The Battle Dogs
Sẽ tiếp tục cuộc viễn chinh

TIÊU DIỆT LOÀI MÈO!

... Hả?
Bạn thích Mèo à?

Nhưng... Nhưng....


Cái gì?

Bọn Mèo đó... đến từ Trái Đất?
Hành tinh của bạn?

...




*Loài Chó không biết nên nghĩ sau về điều này*



Thế thì...

PHẢI TIÊU DIỆT LOÀI MÈO!

GIẢI THOÁT CHO CON NGƯỜI!!

ĐÚNG VẬY!

GIẢI THOÁT CHO BẠN...



...Bạn tên gì ấy nhỉ?











THE END

CẢM ƠN VÌ ĐÃ CHƠI GAME!","And so, The Battle Dogs
With your excellent leadership

After many months of hardship, endless fighting
The Dogkind, with the death of Cat God, finally managed to expel the Catkind
Out of planet Doggo

Planet Doggo has taken back it's independence
We are indebted to You!!

Thank you!
...


Huh... This is a little embarrassing, but...



What is your name?

Sorry!  Sorry!  So Sorry!!!
We were too occupied with doing wars with the Cats at the beginning that we forgot to ask for your name and just call you Human... And after a few weeks it's been so long now to ask you for your name so we just not doing it, instead we call you by other titles like Captain, Boss Man, Hairless Dog... Now that everything is peaceful and good we thought it would be a great occasion to ask for your name. Please forgive our foolishness, we Dogkind really are indebted to You!!!!
...

Oh... It's no big deal? So sorry!!!
We Dogs really hate to make others disappointed so we always try to clarify our actions, sorry if it bother you, so sorry! Please forgi-

...

Ah, right, right. Where was I?

Although our planet is now peaceful again,
But this event has planted a seed, a question to our no thoughts empty heads:

What about other planets?

How many other planets have been invaded by the Catkind?
And our Dogkind feel like this is something


UNFORGIVABLE.



So... In the future, after everything is back to normal again
The Battle Dogs
Will continue their expedition

TO DEMOLISH THE CATKIND!

... What?
But you like Cats?

But... But....


What?

Those Cats... They come from Earth?
Your Planet?

...




*The Dogs don't know how to feel about this*



Then...

WE HAVE TO DESTROY THE CATS!

AND LIBERATE THE HOOMAN!!

THAT'S RIGHT!

TO SAVE YOU...



...What's your name?











THE END

THANK YOU FOR PLAYING!"
@TUTORIAL_INTRO_1,,"Xin chào, ta lại gặp nhau một lần nữa.","Hey there, we meet again."
@TUTORIAL_INTRO_2,,Vì bạn là người mới ở đây nên hãy để tôi giải thích một số vấn đề.,"Since you are new here, let me clue you in for a bit."
@TUTORIAL_INTRO_3,,"Nhiệm vụ của bạn là [hi]bảo vệ Thành Chó[/hi], [hi]tiêu diệt kẻ địch và phá hủy thành trì của bọn chúng[/hi].","Your mission is to [hi]protect the Dog Tower[/hi], [hi]eliminate the enemies and destroy their fortress[/hi]."
@TUTORIAL_INTRO_4,,"Để làm được điều này, chúng ta cần [hi]quân lính[/hi] tấn công trên mặt trận [jump](chính là bọn Chó chúng tôi!)[/jump]","To accomplish this, we would need [hi]soldiers[/hi] fighting on the battlefield [jump](that's where us Dogs come into play!)[/jump]"
@TUTORIAL_INTRO_5,,"Bạn có thể triệu hồi chúng tôi bằng cách [hi]nhấp chuột vào các ô có hình Chó[/hi] ở trên đây. Hiện tại chỉ có một loại Chó để triệu hồi nhưng đừng lo, bạn có thể mở khóa các loại Chó khác tại khu vực [hi]Nâng Cấp[/hi] ở Căn cứ Chó.","You can summon us by [hi]pressing on the boxes with Dog icons[/hi] up here. Right now you only have one Dog type to summon but don't worry, you can unlock different types of Dogs in the [hi]Upgrade[/hi] area in the Dogbase later."
@TUTORIAL_INTRO_6,,"Bạn cần có đủ [hi c=yellow]tiền[/hi] để triệu hồi Chó, [hi]tiền được tăng theo thời gian[/hi] nên bạn chỉ cần đợi một lát là sẽ có đủ tiền để triệu hồi Chó ngay!","You need to have enough [hi c=yellow]money[/hi] to summon Dogs, [hi]money will increase gradually overtime[/hi] so you just have to wait until you have enough money and then you can summon us!"
@TUTORIAL_INTRO_7,,"Nào, bạn hãy thử gọi một chú Chó ra thử xem! [jump](Bấm vào ô có hình Chó khi có đủ tiền)[/jump]","Now, try to summon a Dog! [jump](Press on the available box when you have enough money)[/jump]"
@TUTORIAL_DOG_SPAWN_1,,"[jump]Hay quá[/jump], giờ ta đã có [hi]Chó[/hi] để bảo vệ [hi]Thành Chó[/hi] thiêng liêng của chúng tôi rồi!","[jump]Very nice[/jump], now we have a [hi]Dog[/hi] to protect our sacred [hi]Dog Tower[/hi]!"
