keys,vi,en
@DOG_NAME_dog,Chó,Dog
@DOG_DESCRIPTION_dog,"Chó bình thường, đánh đơn mục tiêu.","An ordinary dog, performs single target attacks."
@DOG_NAME_sword_dog,Chó Ngậm Kiếm,Sword Dog
@DOG_DESCRIPTION_sword_dog,"Sau 10 năm tu luyện võ công sử dụng Kim Cẩu Kiếm, chú Chó này quyết định xuống núi giúp đất nước thời loạn lạc. Với tốc độ chạy và tốc độ đánh cao, chú Chó này có thể cấp tốc đi đến mặt trận để hỗ trợ tấn công kẻ địch. Đánh đơn mục tiêu.","After 10 years of studying the ultimate blade - Golden Dog Sword, this Dog decided to leave the mountain to help their country which is in turmoil. With high movement and attack speed, this Dog can quickly arrive at the frontline to support and attack the enemies. Performs single target attack."
@DOG_NAME_waffle_dog,Chó Bánh Quế,Waffle Dog
@DOG_DESCRIPTION_waffle_dog,"Sản phẩm mới nhất của nhiều quá trình thí nghiệm trên Chó, Chó Bánh Quế có lượng máu cao thích hợp cho vị trí đỡ đòn khi giao tranh. Đánh diện rộng nhưng sát thương rất thấp.",The latest profuct of the Serial Experiments Dog Project. Waffle Dog has high ammount health suited as a defender in the battlefield. Performs area attacks but they will deal very low damage.
@DOG_NAME_angel_dog,Chó Thiên Thần,Angel Dog
@DOG_DESCRIPTION_angel_dog,"Thiên sứ được Chúa cử xuống nhằm giúp loài Chó hoàn thành mục tiêu của ngài: Tiêu diệt loài Mèo, giống loài bò ra từ địa ngục đã đến xâm chiếm hành tinh thiêng liêng Doggo. Tầm đánh xa, tốc độ đánh trung bình và gây sát thương diện rộng, nhưng không thể tấn công kẻ địch đứng quá gần mình.","An angel sent down form God in order to help Dog accomplish his holy duty: Slaughter the Cat kind, whom came from the depth of hell to invade the holy Doggo planet. Has long attack range, average attack speed and can perform area attacks. Due to their long attack range, they can't attack enemies that are too close to them."
@DOG_NAME_sniper_dog,Chó Bắn Tỉa,Sniper Dog
@DOG_DESCRIPTION_sniper_dog,"Sinh ra trong chiến trường, phải học cách sinh tồn từ khi mới lọt lòng, với khẩu súng ngắm là người bạn duy nhất của mình. Chú Chó này với biệt tài thiện xạ với tầm đánh cực xa và khả năng gây sát thương cao chính là cơn ác mộng của nhiều con Mèo. Đạn bắn xuyên phá đội hình quân địch, gây sát thương cho kẻ địch nằm trong đường đi của viên đạn.","Born into the battlefield, this Dog has to learn how to survive since birth, with a sniper rifle as his only friend. This Dog is a bonafide marksman, with extremely high attack range and attack damage, Snipper Dog is the worst nightmare of many Cats. Their bullets can pierce through the enemy formation, deals damage on enemies that are in the bullet's path."
@DOG_NAME_batter_dog,Chó Bóng Chày,Batter Dog
@DOG_DESCRIPTION_batter_dog,"??? Không rõ lai lịch, được giáng xuống trần giang với nhiệm vụ thanh trừng những thực thể không trong sạch.","??? Unkown origin, was incarnated with a mission to purify tainted entites."
@DOG_NAME_miko_dog,Chó Miko,Miko Dog
@DOG_DESCRIPTION_miko_dog,"~Vu nữ chốn Thiên Đường~. Chú Chó này diệt trừ youkai làm loạn, bảo vệ dân lành cũng như ngăn chặn các biến cố gây ra bởi các youkai nguy hiểm khét tiếng. Tấn công bằng thực hiện thứ được gọi là... ""spell card"", có thể hiểu spell card ở đây là bắn hàng tá các viên đạn xuống đầu đối phương.","~Shrine Maiden of Paradise~. This Dog exterminate youkais, protect human and prevent incidents caused by dangerous youkai. Attack by performing something called a... ""spell card"", this can be understood as raining a ton of bullets down the enemies' head."
