keys,vi,en
@STORY_main_story,Cốt truyện chính,Main Story
@CHAPTER_the_battle_dogs_rising,Sự Trỗi dậy của Loài Chó,The Battle Dogs Rising
@LOCATION_the_battle_dogs_rising,Hành tinh Doggo,Planet Doggo
@STAGE_doggonamu,Doggonamu,Doggonamu
@STAGE_dogbodia,Cẩupuchia,Dogbodia
@STAGE_crimson_hound,Xích Cẩu,Crimsom Hound
@STAGE_welsh,Ci Llanfairpwllgwyngyll,Ci Llanfairpwllgwyngyll
@STAGE_dogstralia,Đảo Cún ,Dogstralia
@STAGE_mt_big_bone,Núi Đại Cốt,Mt. Big Bone
@STAGE_land_of_freezing_death,Vùng Đất Băng Chết,Land of Freezing Death
@STAGE_endless_road,Đường Vô Tận,Endless Road
@STAGE_doggo_boundary,Biên Giới Doggo,Doggo Boundary
@STAGE_dog_bay,Vịnh Đảo D.O.G,D.O.G Bay
@STAGE_neko_hq,N.E.K.O HQ,N.E.K.O HQ
@STAGE_cat_island,Đảo Mèo,Cat Island
@STAGE_catkind_lair,Sào Huyệt Loài Mèo,Catkind Lair
@STORY_eastern_boundaries,Đông Phương Kết Giới,Eastern Boundaries
@CHAPTER_shrine_maiden_of_paradise,Vu Nữ chốn Thiên Đường,Shrine Maiden of Paradise
@LOCATION_shrine_maiden_of_paradise,Đền Hakurei,Hakurei Shrine
@STAGE_miko_dog,Đại Kết Giới Hakurei,The Great Hakurei Barrier
